ranking,nombre,institucion,disciplina,h_index,citas,trabajos,scholar_id,openalex_id,orcid,topics
238,Andrés Bórquez,University of Chile,Ciencia Política,5,52,22,,A5018844545,0000-0002-3904-409X,International Relations in Latin America; Global trade and economics; International Development and Aid; Economic Zones and Regional Development; International Relations and Foreign Policy
239,Ignacio Irarrázaval,Pontificia Universidad Católica de Chile,Ciencia Política,5,44,23,,A5046446614,0000-0001-5870-5853,"Social Sciences and Policies; Public Policy and Governance; Finance, Taxation, and Governance; Aging, Health, and Disability; Taxation and Compliance Studies"
240,Mauricio Bucca,Pontificia Universidad Católica de Chile,Sociología,5,253,13,,A5004730433,0000-0003-3566-5953,"Intergenerational and Educational Inequality Studies; Income, Poverty, and Inequality; Social and Cultural Dynamics; Names, Identity, and Discrimination Research; Racial and Ethnic Identity Research"
241,Naim Bro,Millennium Institute for Integrative Biology,Ciencia Política,5,55,16,,A5081967253,0000-0002-2703-9023,Social Sciences and Policies; Human Mobility and Location-Based Analysis; Political and Social Dynamics in Chile and Latin America; Urban Planning and Valuation; Business Strategy and Innovation
242,Luis Alvarenga,Universidad Santo Tomás,Ciencia Política,5,95,115,,A5082641984,0000-0002-9994-6562,Social Sciences and Policies; Latin American Literature Studies; Political Dynamics in Latin America; Public Policy and Governance; Ethics and bioethics in healthcare
243,Javier Núñez Moscoso,University of O'Higgins,Sociología,5,243,45,,A5085253974,0000-0001-7171-8392,"Education, sociology, and vocational training; Educational Practices and Policies; Education and Teacher Training; Educational theories and practices; Education in Rural Contexts"
244,Verónica Arriagada,Universidad del Desarrollo,Sociología,5,215,7,,A5064812262,0000-0002-4517-0957,"Early Childhood Education and Development; Income, Poverty, and Inequality; Employment and Welfare Studies; School Choice and Performance; Family Business Performance and Succession"
245,Christiane Olivo,Universidad Adventista de Chile,Ciencia Política,5,137,32,,A5072888365,,"German History and Society; European history and politics; Communism, Protests, Social Movements; Social Capital and Networks; Electoral Systems and Political Participation"
246,María Soledad Martínez-Gutiérrez,University of Chile,Economía,5,133,8,,A5100659203,0000-0001-8153-508X,Healthcare Policy and Management; Primary Care and Health Outcomes; Global Health Care Issues; Smoking Behavior and Cessation; Social Policy and Reform Studies
247,Ricardo Greene,San Sebastián University,Ciencias Sociales,5,71,38,,A5025282974,0000-0002-1930-320X,Latin American Urban Studies; Regional Development and Innovation; Spanish Literature and Culture Studies; Comparative Literary Analysis and Criticism; Social Sciences and Policies
248,Francesco Penaglia,Alberto Hurtado University,Ciencia Política,5,70,22,,A5076842216,0000-0003-1144-2974,"Political and Social Dynamics in Chile and Latin America; Latin American socio-political dynamics; Public Policy and Governance; Social Sciences and Policies; Employment, Labor, and Gender Studies"
249,Marco A. Morales,Universidad Adventista de Chile,Ciencia Política,5,118,10,,A5101567768,,Electoral Systems and Political Participation; Media Influence and Politics; Fiscal Policies and Political Economy; Statistical Methods and Bayesian Inference; Social Media and Politics
250,Manuel Correia,Pontificia Universidad Católica de Chile,Sociología,5,119,49,,A5102927191,0000-0001-6464-2692,"Classical Philosophy and Thought; Medieval Philosophy and Theology; Historical, Religious, and Philosophical Studies; Literary and Cultural Studies; Neurology and Historical Studies"
251,Michelle Lapierre,Universidad de La Frontera,Sociología,5,71,26,,A5039908338,0000-0003-1318-207X,"Social Sciences and Policies; Social Issues and Sustainability; Migration, Education, Indigenous Social Dynamics; Race, Identity, and Education in Brazil; Gender, Health, and Social Inequality"
252,Sebastián Piñera,Fundación Chile,Ciencia Política,5,118,39,,A5062402057,,"Economic and Social Development; Public Policy and Governance; Economic Theory and Policy; Regional Development and Innovation; Income, Poverty, and Inequality"
253,Paulina Morales Aguilera,University of Chile,Ciencia Política,5,121,40,,A5076298865,0000-0001-8780-0999,Social Sciences and Policies; Ethics and bioethics in healthcare; Latin American socio-political dynamics; Alzheimer's disease research and treatments; Religious and Theological Studies
254,Ngaire Honey,University of O'Higgins,Sociología,5,125,15,,A5015813168,0000-0001-8592-1148,"School Choice and Performance; Parental Involvement in Education; Urban, Neighborhood, and Segregation Studies; Poverty, Education, and Child Welfare; Intergenerational and Educational Inequality Studies"
255,Javiera Pavez,Pontificia Universidad Católica de Valparaíso,Educación,5,124,19,,A5006130854,0000-0003-2601-2184,"Social Sciences and Policies; Social Issues and Sustainability; Community Health and Development; Migration, Education, Indigenous Social Dynamics; Geochemistry and Elemental Analysis"
256,Roxana Balbontín-Alvarado,University of Bío-Bío,Educación,5,297,8,,A5069011980,0000-0003-3432-193X,Education and Teacher Training; COVID-19 and Mental Health; Adult and Continuing Education Topics; Diverse Educational Innovations Studies; Online Learning and Analytics
257,Samanta Alarcón‐Arcos,Pontificia Universidad Católica de Chile,Ciencias Sociales,5,50,12,,A5078430580,0000-0002-2597-1378,Social Sciences and Policies; Employment and Welfare Studies; Intergenerational Family Dynamics and Caregiving; Children's Rights and Participation; Work-Family Balance Challenges
258,Luis Manuel Flores-González,Pontificia Universidad Católica de Chile,Psicología,5,49,13,,A5021975327,0000-0001-6962-8443,Education and Teacher Training; Social Sciences and Policies; Educational Innovations and Technology; Psychological Treatments and Disorders; Environmental Education and Sustainability
259,Patricia Jara Concha,University of Concepción,Psicología,5,67,16,,A5066563447,0000-0003-1580-3976,"Stress and Burnout Research; Resilience and Mental Health; Social Sciences and Policies; Law, Ethics, and AI Impact; Health and Medical Education"
260,Pablo Oñate,Adolfo Ibáñez University,Ciencias Sociales,5,66,21,,A5052014588,0000-0003-0552-3436,Historical Studies in Latin America; Latin American history and culture; Social Sciences and Policies; Human Rights and Immigration; Historical Studies on Spain
261,Eduardo Santa Cruz Grau,Universidad Bernardo O'Higgins,Educación,5,76,17,,A5036692459,,Education and Teacher Training; Educational Practices and Policies; Social Sciences and Policies; Education in Rural Contexts; School Choice and Performance
262,Jorge Castillo‐Sepúlveda,Universidad de Santiago de Chile,Ciencias Sociales,5,76,49,,A5049610206,0000-0002-6315-3798,Social Sciences and Policies; Ethics and bioethics in healthcare; Biotechnology and Related Fields; Public Health and Social Inequalities; Semiotics and Representation Studies
263,Andrés Dockendorff,University of Chile,Ciencia Política,5,110,34,,A5061051589,0000-0003-3434-7793,"Political and Social Dynamics in Chile and Latin America; Electoral Systems and Political Participation; Politics and Society in Latin America; International Relations in Latin America; Populism, Right-Wing Movements"
264,Pía Rodríguez‐Garrido,University of O'Higgins,Ciencias Sociales,5,113,27,,A5067610418,0000-0002-0610-4666,Social Sciences and Policies; Maternal and Perinatal Health Interventions; Disability Rights and Representation; Elder Abuse and Neglect; Intimate Partner and Family Violence
265,María Teresa Rojas Fabris,Alberto Hurtado University,Educación,5,77,13,,A5022991375,,Educational Practices and Policies; Social Sciences and Policies; Inclusive Education and Diversity; Education and Teacher Training; Gender and Feminist Studies
266,Luis Campos Medina,University of Chile,Ciencia Política,5,70,53,,A5043195693,0000-0002-5157-4974,Latin American Urban Studies; Political and Social Dynamics in Chile and Latin America; Social Sciences and Policies; Disaster Management and Resilience; Cultural and Social Studies in Latin America
267,Cecilia Hidalgo,University of Chile,Ciencia Política,5,165,47,,A5009739336,0000-0001-6875-4181,"Science, Technology, and Education in Latin America; Social Sciences and Policies; Science and Science Education; Interdisciplinary Research and Collaboration; Sustainability and Climate Change Governance"
268,Mónica Ramírez Pavelic,Arturo Prat University,Sociología,5,68,26,,A5059063946,0000-0003-2710-2982,Social Sciences and Policies; Educational theories and practices; Gender and Feminist Studies; Philosophy and Education Pedagogy; Cultural and Social Studies in Latin America
269,José Manuel Gaete Fiscella,University of Valparaíso,Psicología,5,67,19,,A5044074657,0000-0002-6471-9394,"Social Sciences and Policies; Social Capital and Networks; Migration, Ethnicity, and Economy; Higher Education and Sustainability; Psychology Research and Bibliometrics"
270,Alexis Sossa Rojas,Pontificia Universidad Católica de Chile,Sociología,5,162,52,,A5064116442,0000-0002-5524-4980,"Cultural and Social Studies in Latin America; Sport and Mega-Event Impacts; Hormonal and reproductive studies; Sports, Gender, and Society; Social Sciences and Policies"
271,Marina Alarcón-Espinoza,Universidad de La Frontera,Psicología,5,68,25,,A5060798176,0000-0002-6636-083X,Stress and Burnout Research; Educational Innovations and Technology; Social Skills and Education; Education and Teacher Training; Social Sciences and Policies
272,Sofía Correa Sutil,University of Chile,Ciencia Política,5,170,39,,A5017659649,,Political and Social Dynamics in Chile and Latin America; Political Theory and Democracy; Comparative constitutional jurisprudence studies; Social Sciences and Policies; Human Rights and Immigration
273,Luis Felipe de la Vega Rodríguez,Universidad Andrés Bello,Educación,5,147,44,,A5034919338,0000-0002-4610-6359,Education and Teacher Training; Educational Innovations and Technology; Education in Rural Contexts; Higher Education Teaching and Evaluation; Social Sciences and Policies
274,José Antonio Ibáñez-Martín,Millennium Institute for Research in Depression and Personality,Educación,5,141,86,,A5023377325,0000-0002-1171-7117,Social Sciences and Policies; Educational theories and practices; Education and Teacher Training; Educational Practices and Policies; Higher Education Teaching and Evaluation
275,Patricia González,Miguel de Cervantes University,Educación,5,139,52,,A5101539544,0000-0003-1511-8442,"Social Sciences and Policies; Racial and Ethnic Identity Research; Literacy and Educational Practices; Therapeutic Uses of Natural Elements; Business, Innovation, and Economy"
276,Mario Iván Tarride,Universidad de Santiago de Chile,Ciencias Sociales,5,129,20,,A5063869915,0000-0002-5549-0575,Complex Systems and Decision Making; Organizational Learning and Leadership; Accounting and Organizational Management; Management and Organizational Studies; Global Public Health Policies and Epidemiology
277,Enekoitz Etxezarreta Etxarri,Dirección de Investigación y Desarrollo,Ciencia Política,5,76,36,,A5058730119,,"Social Sciences and Policies; Social Sciences and Governance; Employment, Labor, and Gender Studies; Cooperative Studies and Economics; Labor Law and Work Dynamics"
278,Juan Carlos Cea Madrid,University of Chile,Educación,5,74,31,,A5006685916,0000-0001-7790-8138,"Public Health and Social Inequalities; Social Sciences and Policies; Community Health and Development; Mental Health and Patient Involvement; Migration, Education, Indigenous Social Dynamics"
279,Olga Toro,University of Chile,Ciencias Sociales,5,115,12,,A5031695584,,Public Health and Social Inequalities; Stress and Burnout Research; Mental Health Treatment and Access; Healthcare Systems and Technology; Social Sciences and Policies
280,Santos,Universidad Adventista de Chile,Ciencias Sociales,5,114,47,,A5112252082,,Knowledge Management and Sharing; Business and Management Studies; Big Data and Business Intelligence; Public Health in Brazil; Social Sciences and Policies
281,Talita Tanscheit,Alberto Hurtado University,Ciencia Política,5,101,14,,A5081993316,0000-0002-5511-4844,"Politics and Society in Latin America; Populism, Right-Wing Movements; Social and Political Issues; Youth, Politics, and Society; Latin American socio-political dynamics"
282,Pilar Olave,Universidad Mayor,Sociología,5,102,18,,A5058155496,,Financial Risk and Volatility Modeling; Monetary Policy and Economic Impact; Market Dynamics and Volatility; Statistical Methods and Inference; Labor market dynamics and wage inequality
283,Ricardo Rivas,Universidad de Los Lagos,Ciencia Política,5,102,22,,A5084805882,0000-0002-7160-7729,"Social Sciences and Policies; Latin American socio-political dynamics; Memory, violence, and history; Environmental and Cultural Studies in Latin America and Beyond; Indigenous Studies and Ecology"
284,Paulina Contreras,University of Chile,Educación,5,106,10,,A5072852188,0000-0003-2175-5835,"Education and Teacher Training; Inclusive Education and Diversity; Educational Practices and Policies; Migration, Education, Indigenous Social Dynamics; Social Sciences and Policies"
285,Alberto Van Klaveren,University of Chile,Ciencia Política,5,108,44,,A5020420918,,International Relations in Latin America; Public Policy and Governance; Political and Social Dynamics in Chile and Latin America; International Relations and Autism; Political Theory and Democracy
286,Diego Díaz Rioseco,Pontificia Universidad Católica de Chile,Ciencia Política,5,109,12,,A5045231591,0000-0003-3045-3759,International Development and Aid; Electoral Systems and Political Participation; Local Government Finance and Decentralization; Politics and Society in Latin America; Taxation and Compliance Studies
287,Felipe Saravia,University of Bío-Bío,Educación,5,79,34,,A5015751486,0000-0003-3196-7831,Social Sciences and Policies; Social Issues and Sustainability; Latin American Urban Studies; Social Work Education and Practice; Regional Development and Innovation
288,Dante Contreras Guajardo,University of Chile,Sociología,5,80,26,,A5069528964,,"Labor market dynamics and wage inequality; Income, Poverty, and Inequality; Education and Teacher Training; Social Sciences and Policies; Gender, Labor, and Family Dynamics"
289,Gloria Miryam Mora Guerrero,Universidad Católica de Temuco,Educación,5,73,23,,A5079039036,0000-0002-2391-4353,"Social Issues and Sustainability; Education in Rural Contexts; Feminism, Gender, and Social Issues; Social Sciences and Policies; Work-Family Balance Challenges"
290,Óscar Godoy Arcaya,Pontificia Universidad Católica de Chile,Ciencia Política,5,126,28,,A5014427261,,Political Theory and Democracy; Comparative constitutional jurisprudence studies; Political and Social Dynamics in Chile and Latin America; Religious and Theological Studies; Social Sciences and Policies
291,José M. Cabezas,San Sebastián University,Ciencia Política,5,74,23,,A5084124118,0000-0002-9173-0564,Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America; Political Dynamics in Latin America; Comparative constitutional jurisprudence studies; Electoral Systems and Political Participation
292,Soledad Martínez Labrín,University of Bío-Bío,Ciencia Política,5,76,32,,A5034257178,0000-0002-1110-9066,Social Sciences and Policies; Gender and Feminist Studies; Latin American socio-political dynamics; Social Sciences and Humanities; Ethics and bioethics in healthcare
293,Jame Rebolledo Sanhueza,University of Chile,Educación,5,91,31,,A5002817805,0000-0003-3245-1431,"Social Sciences and Policies; Social Issues and Sustainability; Inclusive Education and Diversity; Migration, Education, Indigenous Social Dynamics; Indigenous Health, Education, and Rights"
294,Teresa Matus Sepúlveda,University of Chile,Educación,5,89,21,,A5050641699,,"Social Sciences and Policies; Retinopathy of Prematurity Studies; Aging, Health, and Disability; Social Work Education and Practice; Neonatal and fetal brain pathology"
295,Iván Garzón Vallejo,Universidad Autónoma de Chile,Ciencia Política,5,90,75,,A5032084652,0000-0002-3471-3688,Religion and Society in Latin America; Comparative constitutional jurisprudence studies; Religious and Theological Studies; Religion and Society Interactions; Political Theory and Democracy
296,Patricia Castillo,Universidad Diego Portales,Ciencia Política,5,91,29,,A5016187670,0000-0003-0165-2871,"Political and Social Dynamics in Chile and Latin America; Education and Teacher Training; Memory, violence, and history; Social Sciences and Policies; Migration, Education, Indigenous Social Dynamics"
297,José Miguel Ahumada,University of Chile,Ciencia Política,5,86,40,,A5010371810,0000-0002-4458-6328,Economic Theory and Policy; Social Policy and Reform Studies; Political and Social Dynamics in Chile and Latin America; Asian Industrial and Economic Development; International Relations in Latin America
298,Ana María McIntyre,Clínica Alemana,Educación,5,89,9,,A5025341871,,"Migration, Education, Indigenous Social Dynamics; Migration, Health and Trauma; Public Health and Social Inequalities; Social Sciences and Policies; Aging, Health, and Disability"
299,Juan Aspeé Chacón,Viña del Mar University,Educación,5,82,17,,A5002926139,0000-0003-3456-8414,Education and Teacher Training; Social Sciences and Policies; Educational Outcomes and Influences; Educational Innovations and Technology; Higher Education and Sustainability
300,Giorgio Boccardo,University of Chile,Ciencias Sociales,5,98,17,,A5114258814,,"Employment, Labor, and Gender Studies; Reservoir Engineering and Simulation Methods; Hydraulic Fracturing and Reservoir Analysis; Social Sciences and Policies; Digital Economy and Work Transformation"
301,Ariadna Ayala Rubio,University of Valparaíso,Sociología,5,99,41,,A5059972914,0000-0001-8020-9020,"Social Sciences and Policies; Human Rights and Immigration; Immigration and Intercultural Education; Reproductive Health and Technologies; Aging, Health, and Disability"
302,Nicolás Rojas Pedemonte,University of Chile,Sociología,5,99,23,,A5083746600,,"Migration, Education, Indigenous Social Dynamics; Cultural and Social Studies in Latin America; Indigenous Cultures and History; Social Sciences and Policies; Immigration and Intercultural Education"
303,Isis Chamblás,University of Concepción,Psicología,5,100,10,,A5080744350,,Social Work Education and Practice; Homelessness and Social Issues; Educational Methods and Psychological Studies; Social Sciences and Policies; Educational Outcomes and Influences
304,Pablo Yanes,United Nations Economic Commission for Latin America and the Caribbean,Ciencia Política,5,84,25,,A5082785677,,"Economic and Social Development; Poverty, Education, and Child Welfare; Economic Theory and Policy; Income, Poverty, and Inequality; Latin American socio-political dynamics"
305,Josefina Fernández i Barrera,Pontificia Universidad Católica de Chile,Educación,5,81,41,,A5067097910,,"Social Sciences and Policies; Educational Practices and Policies; Aging, Health, and Disability; Ethics and bioethics in healthcare; Higher Education Teaching and Evaluation"
306,Félix González‐Carrasco,Millennium Science Initiative,Educación,5,82,20,,A5026807411,0000-0001-7487-0154,"Disability Education and Employment; Aging, Health, and Disability; Down syndrome and intellectual disability research; Assistive Technology in Communication and Mobility; Social Sciences and Policies"
307,Kemy Oyarzún,University of Chile,Ciencia Política,5,91,42,,A5103977180,,Cultural and Social Studies in Latin America; Comparative Literary Analysis and Criticism; Social Sciences and Policies; Political and Social Dynamics in Chile and Latin America; Latin American Literature Studies
308,Carolina Garcés Estrada,Arturo Prat University,Educación,5,43,7,,A5090644047,0000-0003-3854-3767,"Social Issues and Sustainability; Aging, Health, and Disability; Migration, Education, Indigenous Social Dynamics; Social Sciences and Policies; Violence, Education, and Gender Studies"
309,Isabel Castillo,University of Chile,Ciencias Sociales,4,70,19,,A5101860848,0000-0002-3282-2063,Religion and Society Interactions; Religion and Society in Latin America; Gender Politics and Representation; Social Policy and Reform Studies; Comparative International Legal Studies
310,Gerardo Ramírez Vidal,Viña del Mar University,Sociología,4,70,78,,A5064363949,0000-0002-7019-3376,Classical Antiquity Studies; Classical Philosophy and Thought; Historical and Literary Analyses; Cultural and Mythological Studies; Organic Chemistry Synthesis Methods
311,Roberto Mardones Arévalo,University of Bío-Bío,Ciencia Política,4,30,11,,A5037267313,0000-0002-5065-8703,Political and Social Dynamics in Chile and Latin America; Education and Teacher Training; Political Theory and Democracy; Cultural and Social Studies in Latin America; Social Issues and Sustainability
312,Jorge Notaro,Universidad La República,Ciencia Política,4,33,22,,A5000216287,0000-0003-1265-4012,"Employment, Labor, and Gender Studies; Economic Theory and Policy; Latin American socio-political dynamics; Income, Poverty, and Inequality; Employment and Welfare Studies"
313,Magdalena Calderón-Orellana,Universidad de Santiago de Chile,Educación,4,33,28,,A5076539084,0000-0003-0672-5873,"Social Sciences and Policies; Social Work Education and Practice; Aging, Health, and Disability; Stress and Burnout Research; Workplace Violence and Bullying"
314,Nicolás Mimica,Universidad Diego Portales,Ciencia Política,4,28,12,,A5007515600,0000-0003-1603-6377,Politics and Society in Latin America; Political and Social Dynamics in Chile and Latin America; Political Systems and Governance; Electoral Systems and Political Participation; Judicial and Constitutional Studies
315,Waleska Muñoz Aravena,University of Concepción,Ciencia Política,4,28,19,,A5035897502,0000-0002-1087-505X,Public Policy and Governance; Social Sciences and Policies; Social Issues and Sustainability; Political Theory and Democracy; Comparative constitutional jurisprudence studies
316,José Manuel Améstica,Universidad Diego Portales,Psicología,4,27,8,,A5004877935,0000-0002-7374-6503,Education and Teacher Training; Inclusive Education and Diversity; Social Sciences and Policies; Attention Deficit Hyperactivity Disorder; Psychological Treatments and Disorders
317,Francisco Cumplido Cereceda,University of Chile,Ciencia Política,4,95,34,,A5055111875,,Comparative constitutional jurisprudence studies; Legal processes and jurisprudence; Human Rights and Immigration; Criminal Justice and Penology; Political Theory and Democracy
318,Mario Radrigán Rubio,Universidad de Santiago de Chile,Ciencia Política,4,95,27,,A5046668177,0000-0003-0706-8190,Cooperative Studies and Economics; Social Sciences and Policies; Higher Education and Sustainability; Regional Development and Innovation; Social Sciences and Governance
319,Ana María Stuven,Universidad Diego Portales,Ciencia Política,4,94,45,,A5053518479,,Political and Social Dynamics in Chile and Latin America; Cultural and Social Studies in Latin America; Historical Studies in Latin America; Social Sciences and Policies; Religious and Theological Studies
320,María Inés Ramírez,Centre For Sustainable Urban Development,Ciencias Sociales,4,72,14,,A5026138834,0000-0003-3765-0843,"Latin American Urban Studies; Employment and Welfare Studies; Migration, Aging, and Tourism Studies; Urban Transport and Accessibility; Social Sciences and Policies"
321,Daniel Zamora,Universidad de La Frontera,Sociología,4,123,24,,A5091463191,,"Foucault, Power, and Ethics; French Historical and Cultural Studies; Education, sociology, and vocational training; International Law and Human Rights; Social Sciences and Policies"
322,Francisca Corbalán,University of Chile,Educación,4,125,9,,A5031831811,0000-0002-7525-8140,Educational Outcomes and Influences; Education and Teacher Training; Social Sciences and Policies; Child and Adolescent Psychosocial and Emotional Development; Educational Practices and Policies
323,Jean Guitton,University of Chile,Ciencia Política,4,96,97,,A5109900942,,"Religious and Theological Studies; French Urban and Social Studies; Historical Studies and Socio-cultural Analysis; Political and Social Issues; Multiculturalism, Politics, Migration, Gender"
324,Luis Flores,Pontificia Universidad Católica de Chile,Ciencia Política,4,74,37,,A5037821987,0009-0006-5835-1446,Educational theories and practices; Philosophical Thought and Analysis; Social Issues and Policies in Latin America; Social Sciences and Policies; Latin American socio-political dynamics
325,Cory Duarte Hidalgo,University of Atacama,Sociología,4,67,38,,A5053842572,0000-0002-1532-3123,"Social Sciences and Policies; Migration, Education, Indigenous Social Dynamics; Social Issues and Sustainability; Gender, Health, and Social Inequality; Employment, Labor, and Gender Studies"
326,Mónica Palacios,Universidad de Santiago de Chile,Ciencias Sociales,4,31,13,,A5025200147,0000-0001-5686-8237,"Social Sciences and Policies; Social Issues and Sustainability; Occupational Therapy Practice and Research; Stress and Burnout Research; Aging, Health, and Disability"
327,Cristián Venegas Traverso,Universidad Mayor,Psicología,4,31,14,,A5069832131,0000-0003-0185-1774,Education and Teacher Training; Educational Innovations and Technology; Social Sciences and Policies; Educational Methods and Psychological Studies; Educational Practices and Policies
328,Marcela Abufhele,Universidad de Santiago de Chile,Psicología,4,113,13,,A5037787752,,Eating Disorders and Behaviors; Health and Lifestyle Studies; Social Sciences and Policies; Psychological Treatments and Disorders; Latin American Urban Studies
329,C.A Amtmann,Austral University of Chile,Ciencia Política,4,113,18,,A5033157170,,"Regional Development and Innovation; Economic and Social Development; Social Sciences and Policies; Latin American socio-political dynamics; Employment, Labor, and Gender Studies"
330,Susana Carvajal,Universidad Católica del Norte,Educación,4,113,21,,A5052838816,0000-0003-2975-3260,EFL/ESL Teaching and Learning; Second Language Learning and Teaching; Education and Teacher Training; Social Sciences and Policies; Educational Innovations and Technology
331,José María Margenat Peralta,Alberto Hurtado University,Ciencias Sociales,4,115,106,,A5113790267,,Religious and Theological Studies; Social Sciences and Policies; Ethics and bioethics in healthcare; Religion and Society in Latin America; Theology and Canon Law Studies
332,Cecilia Avendaño,University of Concepción,Psicología,4,70,13,,A5081910063,0000-0002-7335-3937,"Social Sciences and Policies; Stress and Burnout Research; Employment, Labor, and Gender Studies; Social Issues and Sustainability; Psychology Research and Bibliometrics"
333,Jorge Eduardo Alfaro Urrutia,San Sebastián University,Educación,4,37,10,,A5028106883,0000-0003-3711-6536,"Inclusive Education and Diversity; Educational Outcomes and Influences; Migration, Education, Indigenous Social Dynamics; Education and Teacher Training; Social Sciences and Policies"
334,Alicia Rain Rain,Universidad Católica de Temuco,Sociología,4,37,15,,A5037729803,0000-0002-0393-7152,"Migration, Education, Indigenous Social Dynamics; Cultural and Social Studies in Latin America; Social Issues and Sustainability; Social Sciences and Policies; Indigenous Cultures and History"
335,Pablo Rupin,University of O'Higgins,Educación,4,37,18,,A5000391926,0000-0001-7255-9004,"Social Policies and Family; Early Childhood Education and Development; Social Sciences and Policies; Psychoanalysis and Psychopathology Research; Migration, Education, Indigenous Social Dynamics"
336,Irma Palma,University of Chile,Sociología,4,37,27,,A5059580304,0000-0003-1658-2554,"Gender and Feminist Studies; Feminism, Gender, and Social Issues; Cultural and Social Studies in Latin America; Reproductive Health and Contraception; Social Sciences and Policies"
337,Esteban Puentes Encina,University of Chile,Sociología,4,38,15,,A5018398558,0000-0001-6711-8538,"Income, Poverty, and Inequality; Labor market dynamics and wage inequality; Employment and Welfare Studies; Gender, Labor, and Family Dynamics; Social Sciences and Policies"
338,José Salazar Ascencio,Universidad de La Frontera,Educación,4,38,17,,A5115604159,0000-0003-0976-0551,Education and Teacher Training; Higher Education Teaching and Evaluation; Educational Practices and Policies; Social Sciences and Policies; Educational Innovations and Technology
339,Pablo Astudillo,Alberto Hurtado University,Ciencias Sociales,4,39,8,,A5074276727,,"Feminism, Gender, and Social Issues; LGBTQ Health, Identity, and Policy; Gender and Feminist Studies; Social Sciences and Policies; Latin American Urban Studies"
340,Loreto Cox,Pontificia Universidad Católica de Chile,Ciencia Política,4,36,9,,A5014447990,0000-0001-6068-0018,"Electoral Systems and Political Participation; Fiscal Policies and Political Economy; Social Media and Politics; Populism, Right-Wing Movements; Urban, Neighborhood, and Segregation Studies"
341,Luis Garrido‐Vergara,University of Chile,Ciencia Política,4,36,27,,A5014030382,0000-0002-8134-9663,Political and Social Dynamics in Chile and Latin America; Politics and Society in Latin America; Elite Sociology and Global Capitalism; Social Policy and Reform Studies; Social and Cultural Dynamics
342,Melissa Hichins-Arismendi,Universidad de Magallanes,Ciencias Sociales,4,34,6,,A5034606717,0000-0001-9961-9695,"Social Issues and Sustainability; Social Sciences and Policies; Aging, Health, and Disability; Occupational Therapy Practice and Research; Disability Rights and Representation"
343,Ana Valdebenito,University of Concepción,Psicología,4,34,6,,A5023853032,0000-0002-9259-3039,"Social Sciences and Policies; Stress and Burnout Research; Aging, Health, and Disability; Child and Adolescent Psychosocial and Emotional Development; Health, psychology, and well-being"
344,Andrea Ceardi,Pontificia Universidad Católica de Valparaíso,Psicología,4,35,5,,A5058882937,0000-0002-5688-5288,"Psychological Treatments and Disorders; Attention Deficit Hyperactivity Disorder; Bullying, Victimization, and Aggression; Teacher Education and Leadership Studies; Social Sciences and Policies"
345,Mitzi Duboy Luengo,Alberto Hurtado University,Educación,4,27,15,,A5103173773,0000-0002-6539-0615,"Social Sciences and Policies; Employment, Labor, and Gender Studies; Social Work Education and Practice; Poverty, Education, and Child Welfare; Evaluation and Performance Assessment"
346,Carla Vidal Figueroa,University of Concepción,Ciencia Política,4,33,14,,A5009040719,0000-0002-6471-135X,"Social Sciences and Policies; Social Policy and Reform Studies; Employment and Welfare Studies; Income, Poverty, and Inequality; Political and Social Dynamics in Chile and Latin America"
347,Daniel Opazo,University of Chile,Ciencia Política,4,33,17,,A5025773796,0000-0002-6904-8104,Latin American Urban Studies; Environmental and Ecological Studies; Regional Development and Innovation; Social Issues and Sustainability; Political Theory and Democracy
348,Bruno Bivort Urrutia,University of Bío-Bío,Ciencia Política,4,41,19,,A5088897649,0000-0003-3319-7308,Social Sciences and Policies; Latin American socio-political dynamics; Education and Teacher Training; Gender and Feminist Studies; Educational Practices and Policies
349,Ximena Gutiérrez-Saldivia,Universidad Católica de Temuco,Educación,4,41,21,,A5041229580,0000-0003-1258-1562,Education and Teacher Training; Inclusive Education and Diversity; Educational Innovations and Technology; Social Sciences and Policies; Family and Disability Support Research
350,Daniela Díaz Bórquez,Universidad Santo Tomás,Educación,4,42,11,,A5056441241,0000-0002-7179-8887,"Social Sciences and Policies; Workplace Violence and Bullying; Social Work Education and Practice; Migration, Education, Indigenous Social Dynamics; Intimate Partner and Family Violence"
351,Víctor Fernández González,Catholic University of the Maule,Ciencias Sociales,4,298,55,,A5102995483,0000-0003-1692-0998,Comparative International Legal Studies; Human Rights and Immigration; Labor Law and Work Dynamics; Legal processes and jurisprudence; Social Sciences and Policies
352,Nelson Carroza Athens,Universidad de Playa Ancha de Ciencias de la Educación,Economía,4,42,26,,A5004617967,0000-0003-3902-3392,Latin American Urban Studies; Regional Development and Innovation; Social Issues and Sustainability; Social Sciences and Policies; Regional Economic and Spatial Analysis
353,Juan Carlos Romero,University of Tarapacá,Sociología,4,42,31,,A5065215626,0000-0003-1501-5179,Educational Outcomes and Influences; Social Sciences and Policies; Educational Methods and Psychological Studies; Cultural Differences and Values; Psychotherapy Techniques and Applications
354,Daniela Poblete Godoy,Universidad de Los Lagos,Sociología,4,39,17,,A5033459970,0000-0002-0349-6211,"Social Sciences and Policies; Migration, Education, Indigenous Social Dynamics; Cultural and Social Studies in Latin America; Migration, Racism, and Human Rights; Aging, Health, and Disability"
