ranking,nombre,institucion,disciplina,h_index,citas,trabajos,scholar_id,openalex_id,orcid,topics
156,Sebastián Carrasco,San Sebastián University,Ciencia Política,7,105,29,,A5021760433,0000-0003-0081-2909,Political and Social Dynamics in Chile and Latin America; Public Policy and Governance; Extraction and Separation Processes; Economic Theory and Policy; Political Theory and Democracy
157,Dariela Sharim,Pontificia Universidad Católica de Chile,Ciencia Política,7,101,26,,A5061993506,0000-0001-8926-3349,"Social Sciences and Policies; Political and Social Dynamics in Chile and Latin America; Psychological Treatments and Disorders; Gender, Health, and Social Inequality; Memory, violence, and history"
158,Carmen Gloria Jarpa Arriagada,University of Bío-Bío,Educación,7,100,27,,A5078030200,0000-0002-9896-5649,Education and Teacher Training; Social Sciences and Policies; Educational Outcomes and Influences; Higher Education and Sustainability; Inclusive Education and Diversity
159,Bernardo Navarrete Yáñez,Universidad de Santiago de Chile,Ciencia Política,7,125,53,,A5065147243,0000-0001-9186-3597,"Public Policy and Governance; Political and Social Dynamics in Chile and Latin America; International Relations in Latin America; Social Sciences and Policies; Migration, Education, Indigenous Social Dynamics"
160,Sandra Leiva Gómez,Arturo Prat University,Sociología,7,196,26,,A5101763231,0000-0003-4883-6942,"Cultural and Social Studies in Latin America; Social Sciences and Policies; Migration, Education, Indigenous Social Dynamics; Orthodontics and Dentofacial Orthopedics; Migration and Labor Dynamics"
161,María José Rubio,University of Valparaíso,Educación,7,255,42,,A5112369172,,Higher Education Teaching and Evaluation; E-Learning and Knowledge Management; Educational Technology in Learning; Reflective Practices in Education; Social Sciences and Policies
162,Roberto González,Pontificia Universidad Católica de Chile,Ciencia Política,7,1028,13,,A5108105763,,"Cultural Differences and Values; Social and Intergroup Psychology; Populism, Right-Wing Movements; International Student and Expatriate Challenges; Environmental Education and Sustainability"
163,Felipe Kast,Pontificia Universidad Católica de Chile,Sociología,7,436,14,,A5005546985,,"Financial Literacy, Pension, Retirement Analysis; Housing Market and Economics; Microfinance and Financial Inclusion; Gender, Labor, and Family Dynamics; Income, Poverty, and Inequality"
164,Sylvia Contreras Salinas,Universidad de Santiago de Chile,Sociología,7,137,46,,A5061865778,0000-0003-2297-2399,Education and Teacher Training; Social Sciences and Policies; Education in Rural Contexts; Educational theories and practices; Cultural and Social Studies in Latin America
165,Valeria Palanza,Pontificia Universidad Católica de Chile,Ciencia Política,7,174,39,,A5069799471,0000-0002-1383-4675,Judicial and Constitutional Studies; Legal and Constitutional Studies; Politics and Society in Latin America; Electoral Systems and Political Participation; American Constitutional Law and Politics
166,Karla González Suitt,Pontificia Universidad Católica de Chile,Ciencias Sociales,7,173,31,,A5101881852,0000-0002-0543-1892,"Social Sciences and Policies; Aging, Health, and Disability; Psychiatric care and mental health services; Counseling, Therapy, and Family Dynamics; Ethics in medical practice"
167,Gabriela Rubilar,University of Chile,Ciencia Política,7,161,56,,A5088645541,0000-0002-4635-9380,"Social Sciences and Policies; Social Work Education and Practice; Migration, Education, Indigenous Social Dynamics; Aging, Health, and Disability; Social and Political Issues"
168,Lelya Troncoso Pérez,University of Chile,Ciencia Política,7,206,24,,A5038229125,0000-0002-9197-3611,"Gender and Feminist Studies; Political and Social Dynamics in Chile and Latin America; Cultural and Social Studies in Latin America; Social Sciences and Policies; Feminism, Gender, and Social Issues"
169,Mauro Basaure,Universidad Andrés Bello,Ciencia Política,7,206,87,,A5044481627,0000-0003-4111-2474,"Critical Theory and Philosophy; Political and Social Dynamics in Chile and Latin America; Social Sciences and Policies; Political Theory and Democracy; Memory, violence, and history"
170,Rodrigo Osorio,Universidad Diego Portales,Ciencia Política,7,238,19,,A5073963631,0000-0002-7365-5054,Politics and Society in Latin America; Political and Social Dynamics in Chile and Latin America; Electoral Systems and Political Participation; Judicial and Constitutional Studies; Public Policy and Governance
171,Pablo Muñoz,University of Chile,Ciencia Política,7,238,50,,A5101629983,0000-0002-1625-6647,School Choice and Performance; Political Conflict and Governance; Politics and Society in Latin America; Intergenerational and Educational Inequality Studies; Social Policy and Reform Studies
172,Lucy Opazo,Institute of Ecology and Biodiversity,Educación,7,234,90,,A5108670481,,Technology in Education and Healthcare; Geography and Education Methods; Social Sciences and Policies; Organizational Management and Innovation; Health and Medical Education
173,Alejandra Araya Espinoza,Universidad Andrés Bello,Ciencia Política,7,258,61,,A5103327069,,Cultural and Social Studies in Latin America; Historical Studies in Latin America; Latin American history and culture; Political and Social Dynamics in Chile and Latin America; Social Sciences and Policies
174,Luis Troncoso,Catholic University of the Maule,Sociología,7,162,53,,A5070595919,0000-0003-0649-1093,Latin American Urban Studies; Geological and Tectonic Studies in Latin America; Environmental and Cultural Studies in Latin America and Beyond; Historical and socio-economic studies of Spain and related regions; Social Sciences and Policies
175,María Teresa González González,Catholic University of the Maule,Educación,7,168,39,,A5112840711,,Education and Teacher Training; Educational Practices and Policies; Higher Education Teaching and Evaluation; Social Sciences and Policies; Inclusive Education and Diversity
176,Azun Candina Polomer,University of Chile,Ciencia Política,6,191,18,,A5068070667,,"Political and Social Dynamics in Chile and Latin America; Higher Education in Latin America; Employment, Labor, and Gender Studies; Philosophical Thought and Analysis; Social Sciences and Policies"
177,Manuel Canales Cerón,University of O'Higgins,Ciencia Política,6,130,19,,A5087721727,0000-0002-5197-7642,"Social Sciences and Policies; Regional Development and Innovation; Youth, Politics, and Society; Cultural and Social Studies in Latin America; Latin American socio-political dynamics"
178,Marcelo Arnold-Cathalifaud,University of Chile,Educación,6,129,35,,A5022063866,0000-0003-1649-8512,"Social Sciences and Policies; Educational theories and practices; Science, Technology, and Education in Latin America; Complex Systems and Decision Making; Education and Teacher Training"
179,Constanza Moreira,Universidad La República,Ciencia Política,6,95,25,,A5086278368,0000-0002-6754-6230,Politics and Society in Latin America; International Relations in Latin America; Political and Social Dynamics in Chile and Latin America; Political Dynamics in Latin America; Political Theory and Democracy
180,Bárbara Olivares,Universidad Diego Portales,Educación,6,94,24,,A5001964672,0000-0001-8239-8910,"Social Sciences and Policies; Community Health and Development; Migration, Education, Indigenous Social Dynamics; Public Health and Social Inequalities; Aging, Health, and Disability"
181,Francisco Cortés Rodás,Austral University of Chile,Ciencia Política,6,141,98,,A5057041884,0000-0001-8967-6047,Comparative constitutional jurisprudence studies; Economic and Social Development; Political Theory and Democracy; Political Philosophy and Ethics; Human Rights and Immigration
182,Nicolás Schöngut‐Grollmus,University of the Americas,Educación,6,141,33,,A5070158251,0000-0003-0066-7190,Social Sciences and Policies; Qualitative Research Methods and Ethics; Participatory Visual Research Methods; Education and Art Integration; Evaluation and Performance Assessment
183,Paulina Salinas Meruane,Universidad Católica del Norte,Ciencia Política,6,171,24,,A5028758015,,"Indigenous Cultures and History; Cultural and political discourse analysis; Gender and Feminist Studies; Social Sciences and Policies; Employment, Labor, and Gender Studies"
184,Lautaro Ríos Álvarez,University of Valparaíso,Ciencia Política,6,125,65,,A5025842637,,Comparative constitutional jurisprudence studies; Human Rights and Immigration; Legal processes and jurisprudence; Political Theory and Democracy; Criminal Justice and Penology
185,Alicia Razeto,Pontificia Universidad Católica de Chile,Educación,6,155,18,,A5006756898,0000-0003-2887-8424,"Social Sciences and Policies; Parental Involvement in Education; Youth Substance Use and School Attendance; Stress and Burnout Research; Aging, Health, and Disability"
186,María Isabel Reyes Espejo,Pontificia Universidad Católica de Valparaíso,Educación,6,128,65,,A5010793351,0000-0003-0454-0584,Social Sciences and Policies; Social Skills and Education; Social Issues and Sustainability; Community Health and Development; Education and Teacher Training
187,Josep A. Rodríguez,Dirección de Investigación y Desarrollo,Ciencias Sociales,6,117,26,,A5109208791,,"Social Sciences and Policies; Medicine and Dermatology Studies History; Healthcare Systems and Technology; Public Health and Social Inequalities; Aging, Health, and Disability"
188,Javiera Vásquez,Clinica Santa Maria,Ciencias Sociales,6,135,14,,A5018195191,,"Retirement, Disability, and Employment; Labor Law and Work Dynamics; Financial Literacy, Pension, Retirement Analysis; Aging, Health, and Disability; Social Sciences and Policies"
189,Igor Goicović Donoso,Universidad de Santiago de Chile,Ciencia Política,6,131,75,,A5071509078,0000-0003-2183-7195,"Political and Social Dynamics in Chile and Latin America; Cultural and Social Studies in Latin America; Historical Studies in Latin America; Memory, violence, and history; Social Sciences and Policies"
190,Diego Palma,University of Chile,Educación,6,72,29,,A5084597691,0000-0003-1540-7164,Social Sciences and Policies; Natural Language Processing Techniques; Text Readability and Simplification; Topic Modeling; Health and Medical Education
191,Juan Martín,Universidad Católica Silva Henríquez,Ciencia Política,6,122,117,,A5040153427,0000-0002-0616-0449,Social Sciences and Policies; Latin American socio-political dynamics; Public Policy and Governance; Political and Social Dynamics in Chile and Latin America; Educational theories and practices
192,Pablo Gutiérrez Cubillos,University of Chile,Sociología,6,91,30,,A5063114470,0000-0002-4590-9141,"Income, Poverty, and Inequality; Fiscal Policy and Economic Growth; Intergenerational and Educational Inequality Studies; Labor market dynamics and wage inequality; Monetary Policy and Economic Impact"
193,Ana María Fernández Fernández,Universidad de Santiago de Chile,Ciencias Sociales,6,183,24,,A5103604193,,"Regional Development and Innovation; Aging, Health, and Disability; Latin American Urban Studies; Social Sciences and Policies; Iron and Steelmaking Processes"
194,Paulo Cox,University of Talca,Ciencia Política,6,219,18,,A5075133621,0000-0002-9078-195X,"Electoral Systems and Political Participation; Financial Literacy, Pension, Retirement Analysis; Social Policy and Reform Studies; Monetary Policy and Economic Impact; Global Financial Crisis and Policies"
195,Andrés Bianchetti Saavedra,Universidad Católica del Norte,Educación,6,192,44,,A5053468619,0000-0002-6607-7380,Education and Teacher Training; Health and Lifestyle Studies; Social Sciences and Policies; Educational theories and practices; Higher Education Teaching and Evaluation
196,Ricardo González,Adolfo Ibáñez University,Ciencia Política,6,193,13,,A5029743767,0000-0002-0476-2331,Electoral Systems and Political Participation; Corruption and Economic Development; Political and Social Dynamics in Chile and Latin America; Social Media and Politics; Social Capital and Networks
197,Hugo Cadenas,University of Chile,Ciencia Política,6,155,60,,A5032535666,0000-0003-2499-2430,Social Sciences and Policies; Comparative constitutional jurisprudence studies; Public Policy and Governance; Legal processes and jurisprudence; Economic and Social Development
198,Florian Wukovitsch,Universidad de Santiago de Chile,Ciencias Sociales,6,155,21,,A5089205817,,"Innovation, Technology, and Society; Regional Development and Policy; Social Policy and Reform Studies; Innovative Approaches in Technology and Social Development; Urbanization and City Planning"
199,Benjamín Villena-Roldán,Universidad Andrés Bello,Sociología,6,181,29,,A5059512528,0000-0002-2780-0214,"Labor market dynamics and wage inequality; Employment and Welfare Studies; Local Government Finance and Decentralization; Firm Innovation and Growth; Retirement, Disability, and Employment"
200,José Tomás Alvarado Marambio,"Universidad de Los Andes, Chile",Psicología,6,210,138,,A5058157375,0000-0003-2324-8458,"Philosophy and Theoretical Science; Classical Philosophy and Thought; Philosophy and History of Science; Logic, Reasoning, and Knowledge; Philosophical Thought and Analysis"
201,María Angélica Cruz,University of Chile,Ciencia Política,6,198,38,,A5031999470,0000-0002-6958-859X,"Political and Social Dynamics in Chile and Latin America; Memory, violence, and history; Social Sciences and Policies; Public Policy and Governance; Cultural and Social Studies in Latin America"
202,Kenneth Bunker,San Sebastián University,Ciencia Política,6,729,83,,A5087081982,0000-0002-4579-6132,"Politics and Society in Latin America; Political and Social Dynamics in Chile and Latin America; Electoral Systems and Political Participation; Populism, Right-Wing Movements; Political Dynamics in Latin America"
203,Rolando Álvarez Vallejos,Universidad de Santiago de Chile,Ciencia Política,6,95,41,,A5080755692,0000-0003-3481-8153,"Political and Social Dynamics in Chile and Latin America; Cultural and Social Studies in Latin America; Spanish History and Politics; Memory, violence, and history; Social Sciences and Policies"
204,Sigrid Schade,University of Chile,Sociología,6,264,60,,A5010294765,,"European history and politics; German Literature and Culture Studies; Art, Aesthetics, and Perception; Libraries and Information Services; Sociology and Education Studies"
205,Pablo Villatoro,United Nations Economic Commission for Latin America and the Caribbean,Sociología,6,261,11,,A5015138331,0009-0002-0491-2560,"Income, Poverty, and Inequality; Poverty, Education, and Child Welfare; Sustainable Development and Environmental Policy; Child Nutrition and Water Access; Regional Development and Innovation"
206,Sonia Montecino Aguirre,University of Chile,Ciencia Política,6,220,77,,A5012331183,,Social Sciences and Policies; Cultural and Social Studies in Latin America; Gender and Feminist Studies; Political and Social Dynamics in Chile and Latin America; Education and Teacher Training
207,Francisca Ortiz Ruiz,Universidad Mayor,Comunicación,6,109,61,,A5047546789,0000-0001-8538-4688,"Social Sciences and Policies; Aging, Health, and Disability; Employment and Welfare Studies; Communication and COVID-19 Impact; Ethics and bioethics in healthcare"
208,Miguel Valencia-Contrera,Universidad Andrés Bello,Psicología,6,109,53,,A5055801556,0000-0002-4943-5924,Stress and Burnout Research; Workplace Health and Well-being; Healthcare professionals’ stress and burnout; Nursing care and research; Social Sciences and Policies
209,Paola Contreras Hernández,University of Tarapacá,Ciencia Política,6,96,35,,A5080660163,0000-0002-7067-5551,"Social Sciences and Policies; Immigration and Intercultural Education; Latin American socio-political dynamics; Human Rights and Immigration; Gender, Health, and Social Inequality"
210,Ví­ctor Muñoz Tamayo,Universidad Católica Silva Henríquez,Ciencia Política,6,86,30,,A5018408957,0000-0003-1892-3025,"Political and Social Dynamics in Chile and Latin America; Latin American socio-political dynamics; Social Sciences and Policies; Youth, Politics, and Society; Youth Culture and Social Dynamics"
211,Javiera Cubillos Almendra,University of Chile,Sociología,6,100,28,,A5011751030,0000-0001-8080-4049,"Social Sciences and Policies; Migration, Education, Indigenous Social Dynamics; Cultural and Social Studies in Latin America; Feminism, Gender, and Social Issues; Latin American Urban Studies"
212,Lorena Pérez‐Roa,University of Chile,Administración,6,87,33,,A5086146691,0000-0002-5959-9439,"Financial Literacy, Pension, Retirement Analysis; Housing, Finance, and Neoliberalism; Social Sciences and Policies; Employment, Labor, and Gender Studies; Taxation and Compliance Studies"
213,Constanza Herrera-Seda,Universidad de Santiago de Chile,Educación,6,552,18,,A5083251749,0000-0001-5778-6495,Education and Teacher Training; Social Sciences and Policies; Educational Innovations and Technology; Higher Education and Sustainability; Education in Rural Contexts
214,Jorge Rojas‐Vallejos,Universidad Andrés Bello,Sociología,6,202,20,,A5018321948,0000-0002-5939-3035,"Global trade and economics; Economic Theory and Policy; Fiscal Policy and Economic Growth; Income, Poverty, and Inequality; Acute Lymphoblastic Leukemia research"
215,Pablo Marshall,Austral University of Chile,Ciencia Política,6,363,121,,A5048544206,0000-0001-8347-4620,Comparative constitutional jurisprudence studies; Human Rights and Immigration; Legal processes and jurisprudence; Political Theory and Democracy; Criminal Justice and Penology
216,Sergio Mansilla Torres,Austral University of Chile,Sociología,6,121,72,,A5064390709,0000-0002-5724-1978,"Cultural and Social Studies in Latin America; Comparative Literary Analysis and Criticism; Christian Theology and Mission; Religion, Society, and Development; Libraries, Manuscripts, and Books"
217,Miguel Torres,United Nations Economic Commission for Latin America and the Caribbean,Economía,6,115,60,,A5101582248,0000-0002-9736-5780,"Economic Theory and Policy; Social Sciences and Policies; Economic and Social Development; Employment, Labor, and Gender Studies; Educational Innovations and Technology"
218,Óscar Aguilera Ruiz,University of Chile,Ciencia Política,6,101,31,,A5065328695,,"Political and Social Dynamics in Chile and Latin America; Youth Culture and Social Dynamics; Latin American socio-political dynamics; Youth, Politics, and Society; Social Sciences and Policies"
219,Alfredo Rodríguez Sedano,"Universidad de Los Andes, Chile",Educación,6,114,77,,A5112366306,,"Social Sciences and Policies; Educational Practices and Policies; Educational theories and practices; Employment, Labor, and Gender Studies; Ethics and bioethics in healthcare"
220,Evguenia Fediakova,Universidad de Santiago de Chile,Sociología,6,98,26,,A5043495873,0000-0003-1481-8586,"Religion and Society Interactions; Religion and Society in Latin America; Religious and Theological Studies; Cultural and Social Studies in Latin America; Religion, Society, and Development"
221,Nicolás Bentancur,Universidad La República,Ciencia Política,6,82,38,,A5049732742,0000-0003-4909-6712,Public Policy and Governance; Social Sciences and Policies; Education and Teacher Training; Educational Practices and Policies; Social and Political Issues
222,Francisco J. Tapia-Ubeda,Universidad Católica del Norte,Administración,6,98,13,,A5072248856,0000-0003-0688-8904,Facility Location and Emergency Management; Supply Chain and Inventory Management; Sustainable Supply Chain Management; Vehicle Routing Optimization Methods; Optimization and Mathematical Programming
223,Mariana Chudnovsky,Pontificia Universidad Católica de Chile,Ciencia Política,6,655,28,,A5009724945,0000-0002-3966-4731,Public Policy and Governance; Latin American socio-political dynamics; Politics and Society in Latin America; Taxation and Compliance Studies; Gender Diversity and Inequality
224,Bielka Carvajal,University of Chile,Ciencias Sociales,6,426,24,,A5057893947,0000-0003-0575-543X,Social Sciences and Policies; Maternal and Perinatal Health Interventions; Biochemical Analysis and Sensing Techniques; Fatty Acid Research and Health; Labor Law and Work Dynamics
225,Karol Morales,Universidad Diego Portales,Ciencias Sociales,6,134,11,,A5057551996,0000-0002-0428-1474,"Digital Economy and Work Transformation; Social Sciences and Policies; Employment and Welfare Studies; Sharing Economy and Platforms; Employment, Labor, and Gender Studies"
226,Nicolás Gómez Núñez,Universidad Central de Chile,Economía,6,470,26,,A5110354375,,Social Sciences and Policies; Social and Economic Solidarity; Theatre and Performance Studies; Polysaccharides Composition and Applications; Economic and Social Development
227,Samuel Fernández Fernández,Pontificia Universidad Católica de Chile,Educación,6,145,155,,A5024985965,0000-0003-4330-0671,Social Sciences and Policies; Religious and Theological Studies; Theology and Canon Law Studies; Higher Education Teaching and Evaluation; Biblical Studies and Interpretation
228,Claudia Robles,United Nations Economic Commission for Latin America and the Caribbean,Ciencia Política,5,91,43,,A5011877893,0000-0001-9468-9176,Social Sciences and Policies; Public Policy and Governance; Latin American socio-political dynamics; Polyomavirus and related diseases; Social Issues and Sustainability
229,Sebastián Rivera,Universidad Mayor,Ciencia Política,5,97,18,,A5083071659,0000-0003-2642-2546,Social Media and Politics; Public Policy and Governance; Latin American socio-political dynamics; Electoral Systems and Political Participation; Social Policy and Reform Studies
230,Consuelo Araos,"Universidad de Los Andes, Chile",Ciencias Sociales,5,83,17,,A5004577912,0000-0002-7035-2330,"Intergenerational Family Dynamics and Caregiving; Migration, Aging, and Tourism Studies; Latin American Urban Studies; Social Sciences and Policies; Aging, Health, and Disability"
231,Felipe Ghiardo,Centro de Estudios Científicos,Ciencia Política,5,94,6,,A5069391098,,"Spanish Philosophy and Literature; Social Sciences and Policies; Philosophical and Cultural Analysis; Aging, Health, and Disability; History and International Relations"
232,Gonzalo Salas,Catholic University of the Maule,Sociología,5,62,51,,A5078419871,0000-0003-3571-4962,"Gender, Labor, and Family Dynamics; Income, Poverty, and Inequality; Psychological Well-being and Life Satisfaction; Taxation and Compliance Studies; Fiscal Policy and Economic Growth"
233,Mauricio García Ojeda,Universidad de La Frontera,Ciencia Política,5,58,13,,A5069091521,,"Social Sciences and Policies; Public Policy and Governance; Community Health and Development; Migration, Education, Indigenous Social Dynamics; Cultural and Social Studies in Latin America"
234,Walter Molina Chávez,Universidad de Magallanes,Sociología,5,63,21,,A5033936352,0000-0001-6497-0258,"Migration, Education, Indigenous Social Dynamics; Education and Teacher Training; Social Sciences and Policies; Cultural and Social Studies in Latin America; Education in Rural Contexts"
235,Karen Cárdenas,Pontificia Universidad Católica de Valparaíso,Psicología,5,65,21,,A5012573125,0000-0003-2828-6824,Education and Teacher Training; Inclusive Education and Diversity; Educational and Psychological Assessments; Educational Innovations and Technology; Social Sciences and Policies
236,Jimena Carrasco Madariaga,Millennium Institute for Research in Depression and Personality,Ciencias Sociales,5,65,38,,A5078115423,0000-0002-7073-1592,"Public Health and Social Inequalities; Occupational Therapy Practice and Research; Social Sciences and Policies; Criminal Justice and Penology; Aging, Health, and Disability"
237,María Belén Sotomayor Barros,Universidad de La Frontera,Educación,5,53,10,,A5087311762,0000-0003-2813-3123,Education and Teacher Training; Educational Innovations and Technology; Educational Outcomes and Influences; Social Sciences and Policies; Early Childhood Education and Development
238,Andrés Bórquez,University of Chile,Ciencia Política,5,52,22,,A5018844545,0000-0002-3904-409X,International Relations in Latin America; Global trade and economics; International Development and Aid; Economic Zones and Regional Development; International Relations and Foreign Policy
239,Ignacio Irarrázaval,Pontificia Universidad Católica de Chile,Ciencia Política,5,44,23,,A5046446614,0000-0001-5870-5853,"Social Sciences and Policies; Public Policy and Governance; Finance, Taxation, and Governance; Aging, Health, and Disability; Taxation and Compliance Studies"
240,Mauricio Bucca,Pontificia Universidad Católica de Chile,Sociología,5,253,13,,A5004730433,0000-0003-3566-5953,"Intergenerational and Educational Inequality Studies; Income, Poverty, and Inequality; Social and Cultural Dynamics; Names, Identity, and Discrimination Research; Racial and Ethnic Identity Research"
241,Naim Bro,Millennium Institute for Integrative Biology,Ciencia Política,5,55,16,,A5081967253,0000-0002-2703-9023,Social Sciences and Policies; Human Mobility and Location-Based Analysis; Political and Social Dynamics in Chile and Latin America; Urban Planning and Valuation; Business Strategy and Innovation
242,Luis Alvarenga,Universidad Santo Tomás,Ciencia Política,5,95,115,,A5082641984,0000-0002-9994-6562,Social Sciences and Policies; Latin American Literature Studies; Political Dynamics in Latin America; Public Policy and Governance; Ethics and bioethics in healthcare
243,Javier Núñez Moscoso,University of O'Higgins,Sociología,5,243,45,,A5085253974,0000-0001-7171-8392,"Education, sociology, and vocational training; Educational Practices and Policies; Education and Teacher Training; Educational theories and practices; Education in Rural Contexts"
244,Verónica Arriagada,Universidad del Desarrollo,Sociología,5,215,7,,A5064812262,0000-0002-4517-0957,"Early Childhood Education and Development; Income, Poverty, and Inequality; Employment and Welfare Studies; School Choice and Performance; Family Business Performance and Succession"
245,Christiane Olivo,Universidad Adventista de Chile,Ciencia Política,5,137,32,,A5072888365,,"German History and Society; European history and politics; Communism, Protests, Social Movements; Social Capital and Networks; Electoral Systems and Political Participation"
246,María Soledad Martínez-Gutiérrez,University of Chile,Economía,5,133,8,,A5100659203,0000-0001-8153-508X,Healthcare Policy and Management; Primary Care and Health Outcomes; Global Health Care Issues; Smoking Behavior and Cessation; Social Policy and Reform Studies
247,Ricardo Greene,San Sebastián University,Ciencias Sociales,5,71,38,,A5025282974,0000-0002-1930-320X,Latin American Urban Studies; Regional Development and Innovation; Spanish Literature and Culture Studies; Comparative Literary Analysis and Criticism; Social Sciences and Policies
248,Francesco Penaglia,Alberto Hurtado University,Ciencia Política,5,70,22,,A5076842216,0000-0003-1144-2974,"Political and Social Dynamics in Chile and Latin America; Latin American socio-political dynamics; Public Policy and Governance; Social Sciences and Policies; Employment, Labor, and Gender Studies"
249,Marco A. Morales,Universidad Adventista de Chile,Ciencia Política,5,118,10,,A5101567768,,Electoral Systems and Political Participation; Media Influence and Politics; Fiscal Policies and Political Economy; Statistical Methods and Bayesian Inference; Social Media and Politics
250,Manuel Correia,Pontificia Universidad Católica de Chile,Sociología,5,119,49,,A5102927191,0000-0001-6464-2692,"Classical Philosophy and Thought; Medieval Philosophy and Theology; Historical, Religious, and Philosophical Studies; Literary and Cultural Studies; Neurology and Historical Studies"
251,Michelle Lapierre,Universidad de La Frontera,Sociología,5,71,26,,A5039908338,0000-0003-1318-207X,"Social Sciences and Policies; Social Issues and Sustainability; Migration, Education, Indigenous Social Dynamics; Race, Identity, and Education in Brazil; Gender, Health, and Social Inequality"
252,Sebastián Piñera,Fundación Chile,Ciencia Política,5,118,39,,A5062402057,,"Economic and Social Development; Public Policy and Governance; Economic Theory and Policy; Regional Development and Innovation; Income, Poverty, and Inequality"
253,Paulina Morales Aguilera,University of Chile,Ciencia Política,5,121,40,,A5076298865,0000-0001-8780-0999,Social Sciences and Policies; Ethics and bioethics in healthcare; Latin American socio-political dynamics; Alzheimer's disease research and treatments; Religious and Theological Studies
254,Ngaire Honey,University of O'Higgins,Sociología,5,125,15,,A5015813168,0000-0001-8592-1148,"School Choice and Performance; Parental Involvement in Education; Urban, Neighborhood, and Segregation Studies; Poverty, Education, and Child Welfare; Intergenerational and Educational Inequality Studies"
255,Javiera Pavez,Pontificia Universidad Católica de Valparaíso,Educación,5,124,19,,A5006130854,0000-0003-2601-2184,"Social Sciences and Policies; Social Issues and Sustainability; Community Health and Development; Migration, Education, Indigenous Social Dynamics; Geochemistry and Elemental Analysis"
256,Roxana Balbontín-Alvarado,University of Bío-Bío,Educación,5,297,8,,A5069011980,0000-0003-3432-193X,Education and Teacher Training; COVID-19 and Mental Health; Adult and Continuing Education Topics; Diverse Educational Innovations Studies; Online Learning and Analytics
257,Samanta Alarcón‐Arcos,Pontificia Universidad Católica de Chile,Ciencias Sociales,5,50,12,,A5078430580,0000-0002-2597-1378,Social Sciences and Policies; Employment and Welfare Studies; Intergenerational Family Dynamics and Caregiving; Children's Rights and Participation; Work-Family Balance Challenges
258,Luis Manuel Flores-González,Pontificia Universidad Católica de Chile,Psicología,5,49,13,,A5021975327,0000-0001-6962-8443,Education and Teacher Training; Social Sciences and Policies; Educational Innovations and Technology; Psychological Treatments and Disorders; Environmental Education and Sustainability
259,Patricia Jara Concha,University of Concepción,Psicología,5,67,16,,A5066563447,0000-0003-1580-3976,"Stress and Burnout Research; Resilience and Mental Health; Social Sciences and Policies; Law, Ethics, and AI Impact; Health and Medical Education"
260,Pablo Oñate,Adolfo Ibáñez University,Ciencias Sociales,5,66,21,,A5052014588,0000-0003-0552-3436,Historical Studies in Latin America; Latin American history and culture; Social Sciences and Policies; Human Rights and Immigration; Historical Studies on Spain
261,Eduardo Santa Cruz Grau,Universidad Bernardo O'Higgins,Educación,5,76,17,,A5036692459,,Education and Teacher Training; Educational Practices and Policies; Social Sciences and Policies; Education in Rural Contexts; School Choice and Performance
262,Jorge Castillo‐Sepúlveda,Universidad de Santiago de Chile,Ciencias Sociales,5,76,49,,A5049610206,0000-0002-6315-3798,Social Sciences and Policies; Ethics and bioethics in healthcare; Biotechnology and Related Fields; Public Health and Social Inequalities; Semiotics and Representation Studies
263,Andrés Dockendorff,University of Chile,Ciencia Política,5,110,34,,A5061051589,0000-0003-3434-7793,"Political and Social Dynamics in Chile and Latin America; Electoral Systems and Political Participation; Politics and Society in Latin America; International Relations in Latin America; Populism, Right-Wing Movements"
264,Pía Rodríguez‐Garrido,University of O'Higgins,Ciencias Sociales,5,113,27,,A5067610418,0000-0002-0610-4666,Social Sciences and Policies; Maternal and Perinatal Health Interventions; Disability Rights and Representation; Elder Abuse and Neglect; Intimate Partner and Family Violence
265,María Teresa Rojas Fabris,Alberto Hurtado University,Educación,5,77,13,,A5022991375,,Educational Practices and Policies; Social Sciences and Policies; Inclusive Education and Diversity; Education and Teacher Training; Gender and Feminist Studies
266,Luis Campos Medina,University of Chile,Ciencia Política,5,70,53,,A5043195693,0000-0002-5157-4974,Latin American Urban Studies; Political and Social Dynamics in Chile and Latin America; Social Sciences and Policies; Disaster Management and Resilience; Cultural and Social Studies in Latin America
267,Cecilia Hidalgo,University of Chile,Ciencia Política,5,165,47,,A5009739336,0000-0001-6875-4181,"Science, Technology, and Education in Latin America; Social Sciences and Policies; Science and Science Education; Interdisciplinary Research and Collaboration; Sustainability and Climate Change Governance"
268,Mónica Ramírez Pavelic,Arturo Prat University,Sociología,5,68,26,,A5059063946,0000-0003-2710-2982,Social Sciences and Policies; Educational theories and practices; Gender and Feminist Studies; Philosophy and Education Pedagogy; Cultural and Social Studies in Latin America
269,José Manuel Gaete Fiscella,University of Valparaíso,Psicología,5,67,19,,A5044074657,0000-0002-6471-9394,"Social Sciences and Policies; Social Capital and Networks; Migration, Ethnicity, and Economy; Higher Education and Sustainability; Psychology Research and Bibliometrics"
270,Alexis Sossa Rojas,Pontificia Universidad Católica de Chile,Sociología,5,162,52,,A5064116442,0000-0002-5524-4980,"Cultural and Social Studies in Latin America; Sport and Mega-Event Impacts; Hormonal and reproductive studies; Sports, Gender, and Society; Social Sciences and Policies"
