ranking,openalex_id,orcid,nombre,institucion,pais_institucion,ror,h_index,i10_index,citas,trabajos,campo_principal,dominio,topics,works_api_url
1,A5034708283,,Arend Lijphart,Gobierno de Chile,CL,https://ror.org/02sevrz47,59,115,32776,475,Social Sciences,Social Sciences,Electoral Systems and Political Participation; Political Systems and Governance; European Union Policy and Governance; Agriculture and Rural Development Research; European and International Law Studies,https://api.openalex.org/works?filter=author.id:A5034708283
164,A5078030200,0000-0002-9896-5649,Carmen Gloria Jarpa Arriagada,University of Bío-Bío,CL,https://ror.org/04dndfk38,7,5,100,27,Social Sciences,Social Sciences,Education and Teacher Training; Social Sciences and Policies; Educational Outcomes and Influences; Higher Education and Sustainability; Inclusive Education and Diversity,https://api.openalex.org/works?filter=author.id:A5078030200
165,A5065147243,0000-0001-9186-3597,Bernardo Navarrete Yáñez,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,7,4,125,53,Social Sciences,Social Sciences,"Public Policy and Governance; Political and Social Dynamics in Chile and Latin America; International Relations in Latin America; Social Sciences and Policies; Migration, Education, Indigenous Social Dynamics",https://api.openalex.org/works?filter=author.id:A5065147243
166,A5021760433,0000-0003-0081-2909,Sebastián Carrasco,San Sebastián University,CL,https://ror.org/04jrwm652,7,5,105,29,Social Sciences,Social Sciences,Political and Social Dynamics in Chile and Latin America; Public Policy and Governance; Extraction and Separation Processes; Economic Theory and Policy; Political Theory and Democracy,https://api.openalex.org/works?filter=author.id:A5021760433
167,A5061993506,0000-0001-8926-3349,Dariela Sharim,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,7,3,101,26,Social Sciences,Social Sciences,"Social Sciences and Policies; Political and Social Dynamics in Chile and Latin America; Psychological Treatments and Disorders; Gender, Health, and Social Inequality; Memory, violence, and history",https://api.openalex.org/works?filter=author.id:A5061993506
168,A5014097064,0000-0002-6459-1386,Luis Vivero Arriagada,Universidad Católica de Temuco,CL,https://ror.org/051nvp675,7,3,115,43,Social Sciences,Social Sciences,Social Sciences and Policies; Social and Political Issues; Political and Social Dynamics in Chile and Latin America; Latin American socio-political dynamics; Cultural and Social Studies in Latin America,https://api.openalex.org/works?filter=author.id:A5014097064
169,A5012362821,0000-0002-4429-8879,Carlos Ruíz Schneider,University of Concepción,CL,https://ror.org/0460jpj73,7,2,123,63,Social Sciences,Social Sciences,Education and Teacher Training; Public Policy and Governance; Political Theory and Democracy; Social Sciences and Policies; Religious and Theological Studies,https://api.openalex.org/works?filter=author.id:A5012362821
170,A5034140662,0000-0002-7466-4040,Rafael Carranza,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,7,4,116,19,Social Sciences,Social Sciences,"Income, Poverty, and Inequality; Employment and Welfare Studies; Intergenerational and Educational Inequality Studies; Social Policy and Reform Studies; Urban, Neighborhood, and Segregation Studies",https://api.openalex.org/works?filter=author.id:A5034140662
171,A5020496655,0000-0002-8021-525X,Izaskun Álvarez‐Aguado,Millennium Science Initiative,CL,https://ror.org/01c080z51,7,6,162,29,Social Sciences,Social Sciences,"Disability Education and Employment; Assistive Technology in Communication and Mobility; Aging, Health, and Disability; Down syndrome and intellectual disability research; Social Sciences and Policies",https://api.openalex.org/works?filter=author.id:A5020496655
172,A5031444210,,Javier Corvalán,Alberto Hurtado University,CL,https://ror.org/00749za89,7,3,131,47,Social Sciences,Social Sciences,Education and Teacher Training; Social Sciences and Policies; Educational Practices and Policies; Public Policy and Governance; Latin American Urban Studies,https://api.openalex.org/works?filter=author.id:A5031444210
173,A5000840364,,Alphonse De Waelhens,University of Chile,CL,https://ror.org/047gc3g35,7,5,153,134,Psychology,Social Sciences,"Phenomenology and Existential Philosophy; Psychoanalysis and Psychopathology Research; Nietzsche, Schopenhauer, and Hegel; Philosophy and Historical Thought; Classical Philosophy and Thought",https://api.openalex.org/works?filter=author.id:A5000840364
174,A5016770030,,Antónia Vollrath,San Sebastián University,CL,https://ror.org/04jrwm652,7,5,172,18,Social Sciences,Social Sciences,"Social Sciences and Policies; Aging, Health, and Disability; Child and Adolescent Health; Health disparities and outcomes; Public Health and Social Inequalities",https://api.openalex.org/works?filter=author.id:A5016770030
175,A5078870443,0000-0002-4438-0119,Paola Andreucci-Annunziata,Universidad Mayor,CL,https://ror.org/00pn44t17,7,6,367,32,Social Sciences,Social Sciences,Education and Teacher Training; Higher Education Teaching and Evaluation; Educational Practices and Policies; Social Sciences and Policies; Educational theories and practices,https://api.openalex.org/works?filter=author.id:A5078870443
176,A5077880680,,Yuri Dikhanov,United Nations Economic Commission for Latin America and the Caribbean,CL,https://ror.org/015ggv447,7,5,472,24,"Economics, Econometrics and Finance",Social Sciences,"Global trade and economics; Monetary Policy and Economic Impact; Fiscal Policy and Economic Growth; Income, Poverty, and Inequality; Economic Growth and Productivity",https://api.openalex.org/works?filter=author.id:A5077880680
177,A5055848175,0000-0002-8270-1112,Patricio Miranda,Advanced Center for Chronic Diseases,CL,https://ror.org/036mwh061,7,6,169,38,Social Sciences,Social Sciences,"Social Sciences and Policies; Birth, Development, and Health; Ethics and bioethics in healthcare; Hormonal and reproductive studies; SARS-CoV-2 detection and testing",https://api.openalex.org/works?filter=author.id:A5055848175
178,A5056969057,0000-0001-6398-5204,Taly Reininger,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,7,7,170,27,Social Sciences,Social Sciences,"Social Sciences and Policies; Poverty, Education, and Child Welfare; Social Work Education and Practice; Parental Involvement in Education; Income, Poverty, and Inequality",https://api.openalex.org/works?filter=author.id:A5056969057
179,A5089372227,0000-0002-8667-8159,Daniel López Muñoz,Hospital Base,CL,https://ror.org/00jreav89,7,5,149,38,Social Sciences,Social Sciences,Social Sciences and Policies; Pharmaceutical Practices and Patient Outcomes; COVID-19 Clinical Research Studies; Pharmaceutical studies and practices; Antibiotic Use and Resistance,https://api.openalex.org/works?filter=author.id:A5089372227
180,A5032592389,0000-0002-5144-3341,Fuad Hatibovic Díaz,University of Valparaíso,CL,https://ror.org/00h9jrb69,7,2,147,34,Social Sciences,Social Sciences,Political and Social Dynamics in Chile and Latin America; Cultural and political discourse analysis; Social and Intergroup Psychology; Education and Teacher Training; Social Sciences and Policies,https://api.openalex.org/works?filter=author.id:A5032592389
181,A5014592875,0000-0002-7570-2715,Nicolás Fleet,Alberto Hurtado University,CL,https://ror.org/00749za89,7,5,171,33,Social Sciences,Social Sciences,"Higher Education and Sustainability; Education and Teacher Training; Higher Education in Latin America; Social Sciences and Policies; Weber, Simmel, Sociological Theory",https://api.openalex.org/works?filter=author.id:A5014592875
182,A5112840711,,María Teresa González González,Catholic University of the Maule,CL,https://ror.org/04vdpck27,7,4,168,39,Social Sciences,Social Sciences,Education and Teacher Training; Educational Practices and Policies; Higher Education Teaching and Evaluation; Social Sciences and Policies; Inclusive Education and Diversity,https://api.openalex.org/works?filter=author.id:A5112840711
183,A5070595919,0000-0003-0649-1093,Luis Troncoso,Catholic University of the Maule,CL,https://ror.org/04vdpck27,7,6,162,53,Social Sciences,Social Sciences,Latin American Urban Studies; Geological and Tectonic Studies in Latin America; Environmental and Cultural Studies in Latin America and Beyond; Historical and socio-economic studies of Spain and related regions; Social Sciences and Policies,https://api.openalex.org/works?filter=author.id:A5070595919
184,A5068070667,,Azun Candina Polomer,University of Chile,CL,https://ror.org/047gc3g35,6,2,191,18,Social Sciences,Social Sciences,"Political and Social Dynamics in Chile and Latin America; Higher Education in Latin America; Employment, Labor, and Gender Studies; Philosophical Thought and Analysis; Social Sciences and Policies",https://api.openalex.org/works?filter=author.id:A5068070667
185,A5029743767,0000-0002-0476-2331,Ricardo González,Adolfo Ibáñez University,CL,https://ror.org/0326knt82,6,4,193,13,Social Sciences,Social Sciences,Electoral Systems and Political Participation; Corruption and Economic Development; Political and Social Dynamics in Chile and Latin America; Social Media and Politics; Social Capital and Networks,https://api.openalex.org/works?filter=author.id:A5029743767
186,A5053468619,0000-0002-6607-7380,Andrés Bianchetti Saavedra,Universidad Católica del Norte,CL,https://ror.org/02akpm128,6,5,192,44,Social Sciences,Social Sciences,Education and Teacher Training; Health and Lifestyle Studies; Social Sciences and Policies; Educational theories and practices; Higher Education Teaching and Evaluation,https://api.openalex.org/works?filter=author.id:A5053468619
187,A5075133621,0000-0002-9078-195X,Paulo Cox,University of Talca,CL,https://ror.org/01s4gpq44,6,5,219,18,Social Sciences,Social Sciences,"Electoral Systems and Political Participation; Financial Literacy, Pension, Retirement Analysis; Social Policy and Reform Studies; Monetary Policy and Economic Impact; Global Financial Crisis and Policies",https://api.openalex.org/works?filter=author.id:A5075133621
188,A5103604193,,Ana María Fernández Fernández,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,6,6,183,24,Social Sciences,Social Sciences,"Regional Development and Innovation; Aging, Health, and Disability; Latin American Urban Studies; Social Sciences and Policies; Iron and Steelmaking Processes",https://api.openalex.org/works?filter=author.id:A5103604193
189,A5063114470,0000-0002-4590-9141,Pablo Gutiérrez Cubillos,University of Chile,CL,https://ror.org/047gc3g35,6,3,91,30,Social Sciences,Social Sciences,"Income, Poverty, and Inequality; Fiscal Policy and Economic Growth; Intergenerational and Educational Inequality Studies; Labor market dynamics and wage inequality; Monetary Policy and Economic Impact",https://api.openalex.org/works?filter=author.id:A5063114470
190,A5040153427,0000-0002-0616-0449,Juan Martín,Universidad Católica Silva Henríquez,CL,https://ror.org/003mpdt17,6,2,122,117,Social Sciences,Social Sciences,Social Sciences and Policies; Latin American socio-political dynamics; Public Policy and Governance; Political and Social Dynamics in Chile and Latin America; Educational theories and practices,https://api.openalex.org/works?filter=author.id:A5040153427
191,A5084597691,0000-0003-1540-7164,Diego Palma,University of Chile,CL,https://ror.org/047gc3g35,6,3,72,29,Social Sciences,Social Sciences,Social Sciences and Policies; Natural Language Processing Techniques; Text Readability and Simplification; Topic Modeling; Health and Medical Education,https://api.openalex.org/works?filter=author.id:A5084597691
192,A5071509078,0000-0003-2183-7195,Igor Goicović Donoso,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,6,2,131,75,Social Sciences,Social Sciences,"Political and Social Dynamics in Chile and Latin America; Cultural and Social Studies in Latin America; Historical Studies in Latin America; Memory, violence, and history; Social Sciences and Policies",https://api.openalex.org/works?filter=author.id:A5071509078
193,A5018195191,,Javiera Vásquez,Clinica Santa Maria,CL,https://ror.org/04s1kgp90,6,4,135,14,Social Sciences,Social Sciences,"Retirement, Disability, and Employment; Labor Law and Work Dynamics; Financial Literacy, Pension, Retirement Analysis; Aging, Health, and Disability; Social Sciences and Policies",https://api.openalex.org/works?filter=author.id:A5018195191
194,A5109208791,,Josep A. Rodríguez,Dirección de Investigación y Desarrollo,CL,https://ror.org/02schg286,6,3,117,26,Social Sciences,Social Sciences,"Social Sciences and Policies; Medicine and Dermatology Studies History; Healthcare Systems and Technology; Public Health and Social Inequalities; Aging, Health, and Disability",https://api.openalex.org/works?filter=author.id:A5109208791
195,A5010793351,0000-0003-0454-0584,María Isabel Reyes Espejo,Pontificia Universidad Católica de Valparaíso,CL,https://ror.org/02cafbr77,6,3,128,65,Social Sciences,Social Sciences,Social Sciences and Policies; Social Skills and Education; Social Issues and Sustainability; Community Health and Development; Education and Teacher Training,https://api.openalex.org/works?filter=author.id:A5010793351
196,A5006756898,0000-0003-2887-8424,Alicia Razeto,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,6,5,155,18,Social Sciences,Social Sciences,"Social Sciences and Policies; Parental Involvement in Education; Youth Substance Use and School Attendance; Stress and Burnout Research; Aging, Health, and Disability",https://api.openalex.org/works?filter=author.id:A5006756898
197,A5087721727,0000-0002-5197-7642,Manuel Canales Cerón,University of O'Higgins,CL,https://ror.org/044cse639,6,4,130,19,Social Sciences,Social Sciences,"Social Sciences and Policies; Regional Development and Innovation; Youth, Politics, and Society; Cultural and Social Studies in Latin America; Latin American socio-political dynamics",https://api.openalex.org/works?filter=author.id:A5087721727
198,A5022063866,0000-0003-1649-8512,Marcelo Arnold-Cathalifaud,University of Chile,CL,https://ror.org/047gc3g35,6,4,129,35,Social Sciences,Social Sciences,"Social Sciences and Policies; Educational theories and practices; Science, Technology, and Education in Latin America; Complex Systems and Decision Making; Education and Teacher Training",https://api.openalex.org/works?filter=author.id:A5022063866
199,A5086278368,0000-0002-6754-6230,Constanza Moreira,Universidad La República,CL,https://ror.org/05xs36f43,6,4,95,25,Social Sciences,Social Sciences,Politics and Society in Latin America; International Relations in Latin America; Political and Social Dynamics in Chile and Latin America; Political Dynamics in Latin America; Political Theory and Democracy,https://api.openalex.org/works?filter=author.id:A5086278368
200,A5001964672,0000-0001-8239-8910,Bárbara Olivares,Universidad Diego Portales,CL,https://ror.org/03gtdcg60,6,3,94,24,Social Sciences,Social Sciences,"Social Sciences and Policies; Community Health and Development; Migration, Education, Indigenous Social Dynamics; Public Health and Social Inequalities; Aging, Health, and Disability",https://api.openalex.org/works?filter=author.id:A5001964672
201,A5086146691,0000-0002-5959-9439,Lorena Pérez‐Roa,University of Chile,CL,https://ror.org/047gc3g35,6,2,87,33,"Business, Management and Accounting",Social Sciences,"Financial Literacy, Pension, Retirement Analysis; Housing, Finance, and Neoliberalism; Social Sciences and Policies; Employment, Labor, and Gender Studies; Taxation and Compliance Studies",https://api.openalex.org/works?filter=author.id:A5086146691
202,A5011751030,0000-0001-8080-4049,Javiera Cubillos Almendra,University of Chile,CL,https://ror.org/047gc3g35,6,1,100,28,Social Sciences,Social Sciences,"Social Sciences and Policies; Migration, Education, Indigenous Social Dynamics; Cultural and Social Studies in Latin America; Feminism, Gender, and Social Issues; Latin American Urban Studies",https://api.openalex.org/works?filter=author.id:A5011751030
203,A5018408957,0000-0003-1892-3025,Ví­ctor Muñoz Tamayo,Universidad Católica Silva Henríquez,CL,https://ror.org/003mpdt17,6,2,86,30,Social Sciences,Social Sciences,"Political and Social Dynamics in Chile and Latin America; Latin American socio-political dynamics; Social Sciences and Policies; Youth, Politics, and Society; Youth Culture and Social Dynamics",https://api.openalex.org/works?filter=author.id:A5018408957
204,A5080660163,0000-0002-7067-5551,Paola Contreras Hernández,University of Tarapacá,CL,https://ror.org/04xe01d27,6,5,96,35,Social Sciences,Social Sciences,"Social Sciences and Policies; Immigration and Intercultural Education; Latin American socio-political dynamics; Human Rights and Immigration; Gender, Health, and Social Inequality",https://api.openalex.org/works?filter=author.id:A5080660163
205,A5055801556,0000-0002-4943-5924,Miguel Valencia-Contrera,Universidad Andrés Bello,CL,https://ror.org/01qq57711,6,3,109,53,Psychology,Social Sciences,Stress and Burnout Research; Workplace Health and Well-being; Healthcare professionals’ stress and burnout; Nursing care and research; Social Sciences and Policies,https://api.openalex.org/works?filter=author.id:A5055801556
206,A5047546789,0000-0001-8538-4688,Francisca Ortiz Ruiz,Universidad Mayor,CL,https://ror.org/00pn44t17,6,5,109,61,Social Sciences,Social Sciences,"Social Sciences and Policies; Aging, Health, and Disability; Employment and Welfare Studies; Communication and COVID-19 Impact; Ethics and bioethics in healthcare",https://api.openalex.org/works?filter=author.id:A5047546789
207,A5012331183,,Sonia Montecino Aguirre,University of Chile,CL,https://ror.org/047gc3g35,6,4,220,77,Social Sciences,Social Sciences,Social Sciences and Policies; Cultural and Social Studies in Latin America; Gender and Feminist Studies; Political and Social Dynamics in Chile and Latin America; Education and Teacher Training,https://api.openalex.org/works?filter=author.id:A5012331183
208,A5015138331,0009-0002-0491-2560,Pablo Villatoro,United Nations Economic Commission for Latin America and the Caribbean,CL,https://ror.org/015ggv447,6,5,261,11,Social Sciences,Social Sciences,"Income, Poverty, and Inequality; Poverty, Education, and Child Welfare; Sustainable Development and Environmental Policy; Child Nutrition and Water Access; Regional Development and Innovation",https://api.openalex.org/works?filter=author.id:A5015138331
209,A5010294765,,Sigrid Schade,University of Chile,CL,https://ror.org/047gc3g35,6,5,264,60,Social Sciences,Social Sciences,"European history and politics; German Literature and Culture Studies; Art, Aesthetics, and Perception; Libraries and Information Services; Sociology and Education Studies",https://api.openalex.org/works?filter=author.id:A5010294765
210,A5080755692,0000-0003-3481-8153,Rolando Álvarez Vallejos,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,6,4,95,41,Social Sciences,Social Sciences,"Political and Social Dynamics in Chile and Latin America; Cultural and Social Studies in Latin America; Spanish History and Politics; Memory, violence, and history; Social Sciences and Policies",https://api.openalex.org/works?filter=author.id:A5080755692
211,A5087081982,0000-0002-4579-6132,Kenneth Bunker,San Sebastián University,CL,https://ror.org/04jrwm652,6,4,729,83,Social Sciences,Social Sciences,"Politics and Society in Latin America; Political and Social Dynamics in Chile and Latin America; Electoral Systems and Political Participation; Populism, Right-Wing Movements; Political Dynamics in Latin America",https://api.openalex.org/works?filter=author.id:A5087081982
212,A5031999470,0000-0002-6958-859X,María Angélica Cruz,University of Chile,CL,https://ror.org/047gc3g35,6,4,198,38,Social Sciences,Social Sciences,"Political and Social Dynamics in Chile and Latin America; Memory, violence, and history; Social Sciences and Policies; Public Policy and Governance; Cultural and Social Studies in Latin America",https://api.openalex.org/works?filter=author.id:A5031999470
213,A5058157375,0000-0003-2324-8458,José Tomás Alvarado Marambio,"Universidad de Los Andes, Chile",CL,https://ror.org/03v0qd864,6,5,210,138,Psychology,Social Sciences,"Philosophy and Theoretical Science; Classical Philosophy and Thought; Philosophy and History of Science; Logic, Reasoning, and Knowledge; Philosophical Thought and Analysis",https://api.openalex.org/works?filter=author.id:A5058157375
214,A5059512528,0000-0002-2780-0214,Benjamín Villena-Roldán,Universidad Andrés Bello,CL,https://ror.org/01qq57711,6,6,181,29,"Economics, Econometrics and Finance",Social Sciences,"Labor market dynamics and wage inequality; Employment and Welfare Studies; Local Government Finance and Decentralization; Firm Innovation and Growth; Retirement, Disability, and Employment",https://api.openalex.org/works?filter=author.id:A5059512528
215,A5089205817,,Florian Wukovitsch,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,6,3,155,21,Social Sciences,Social Sciences,"Innovation, Technology, and Society; Regional Development and Policy; Social Policy and Reform Studies; Innovative Approaches in Technology and Social Development; Urbanization and City Planning",https://api.openalex.org/works?filter=author.id:A5089205817
216,A5032535666,0000-0003-2499-2430,Hugo Cadenas,University of Chile,CL,https://ror.org/047gc3g35,6,5,155,60,Social Sciences,Social Sciences,Social Sciences and Policies; Comparative constitutional jurisprudence studies; Public Policy and Governance; Legal processes and jurisprudence; Economic and Social Development,https://api.openalex.org/works?filter=author.id:A5032535666
217,A5057893947,0000-0003-0575-543X,Bielka Carvajal,University of Chile,CL,https://ror.org/047gc3g35,6,5,426,24,Social Sciences,Social Sciences,Social Sciences and Policies; Maternal and Perinatal Health Interventions; Biochemical Analysis and Sensing Techniques; Fatty Acid Research and Health; Labor Law and Work Dynamics,https://api.openalex.org/works?filter=author.id:A5057893947
218,A5024985965,0000-0003-4330-0671,Samuel Fernández Fernández,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,6,3,145,155,Social Sciences,Social Sciences,Social Sciences and Policies; Religious and Theological Studies; Theology and Canon Law Studies; Higher Education Teaching and Evaluation; Biblical Studies and Interpretation,https://api.openalex.org/works?filter=author.id:A5024985965
219,A5110354375,,Nicolás Gómez Núñez,Universidad Central de Chile,CL,https://ror.org/0577avk88,6,5,470,26,Social Sciences,Social Sciences,Social Sciences and Policies; Social and Economic Solidarity; Theatre and Performance Studies; Polysaccharides Composition and Applications; Economic and Social Development,https://api.openalex.org/works?filter=author.id:A5110354375
220,A5057551996,0000-0002-0428-1474,Karol Morales,Universidad Diego Portales,CL,https://ror.org/03gtdcg60,6,6,134,11,Social Sciences,Social Sciences,"Digital Economy and Work Transformation; Social Sciences and Policies; Employment and Welfare Studies; Sharing Economy and Platforms; Employment, Labor, and Gender Studies",https://api.openalex.org/works?filter=author.id:A5057551996
221,A5064390709,0000-0002-5724-1978,Sergio Mansilla Torres,Austral University of Chile,CL,https://ror.org/029ycp228,6,2,121,72,Arts and Humanities,Social Sciences,"Cultural and Social Studies in Latin America; Comparative Literary Analysis and Criticism; Christian Theology and Mission; Religion, Society, and Development; Libraries, Manuscripts, and Books",https://api.openalex.org/works?filter=author.id:A5064390709
222,A5009724945,0000-0002-3966-4731,Mariana Chudnovsky,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,6,4,655,28,Social Sciences,Social Sciences,Public Policy and Governance; Latin American socio-political dynamics; Politics and Society in Latin America; Taxation and Compliance Studies; Gender Diversity and Inequality,https://api.openalex.org/works?filter=author.id:A5009724945
223,A5072248856,0000-0003-0688-8904,Francisco J. Tapia-Ubeda,Universidad Católica del Norte,CL,https://ror.org/02akpm128,6,3,98,13,"Business, Management and Accounting",Social Sciences,Facility Location and Emergency Management; Supply Chain and Inventory Management; Sustainable Supply Chain Management; Vehicle Routing Optimization Methods; Optimization and Mathematical Programming,https://api.openalex.org/works?filter=author.id:A5072248856
224,A5049732742,0000-0003-4909-6712,Nicolás Bentancur,Universidad La República,CL,https://ror.org/05xs36f43,6,0,82,38,Social Sciences,Social Sciences,Public Policy and Governance; Social Sciences and Policies; Education and Teacher Training; Educational Practices and Policies; Social and Political Issues,https://api.openalex.org/works?filter=author.id:A5049732742
225,A5043495873,0000-0003-1481-8586,Evguenia Fediakova,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,6,2,98,26,Social Sciences,Social Sciences,"Religion and Society Interactions; Religion and Society in Latin America; Religious and Theological Studies; Cultural and Social Studies in Latin America; Religion, Society, and Development",https://api.openalex.org/works?filter=author.id:A5043495873
226,A5112366306,,Alfredo Rodríguez Sedano,"Universidad de Los Andes, Chile",CL,https://ror.org/03v0qd864,6,4,114,77,Social Sciences,Social Sciences,"Social Sciences and Policies; Educational Practices and Policies; Educational theories and practices; Employment, Labor, and Gender Studies; Ethics and bioethics in healthcare",https://api.openalex.org/works?filter=author.id:A5112366306
227,A5065328695,,Óscar Aguilera Ruiz,University of Chile,CL,https://ror.org/047gc3g35,6,4,101,31,Social Sciences,Social Sciences,"Political and Social Dynamics in Chile and Latin America; Youth Culture and Social Dynamics; Latin American socio-political dynamics; Youth, Politics, and Society; Social Sciences and Policies",https://api.openalex.org/works?filter=author.id:A5065328695
228,A5101582248,0000-0002-9736-5780,Miguel Torres,United Nations Economic Commission for Latin America and the Caribbean,CL,https://ror.org/015ggv447,6,2,115,60,"Economics, Econometrics and Finance",Social Sciences,"Economic Theory and Policy; Social Sciences and Policies; Economic and Social Development; Employment, Labor, and Gender Studies; Educational Innovations and Technology",https://api.openalex.org/works?filter=author.id:A5101582248
229,A5025842637,,Lautaro Ríos Álvarez,University of Valparaíso,CL,https://ror.org/00h9jrb69,6,3,125,65,Social Sciences,Social Sciences,Comparative constitutional jurisprudence studies; Human Rights and Immigration; Legal processes and jurisprudence; Political Theory and Democracy; Criminal Justice and Penology,https://api.openalex.org/works?filter=author.id:A5025842637
230,A5028758015,,Paulina Salinas Meruane,Universidad Católica del Norte,CL,https://ror.org/02akpm128,6,4,171,24,Social Sciences,Social Sciences,"Indigenous Cultures and History; Cultural and political discourse analysis; Gender and Feminist Studies; Social Sciences and Policies; Employment, Labor, and Gender Studies",https://api.openalex.org/works?filter=author.id:A5028758015
231,A5070158251,0000-0003-0066-7190,Nicolás Schöngut‐Grollmus,University of the Americas,CL,https://ror.org/0166e9x11,6,5,141,33,Social Sciences,Social Sciences,Social Sciences and Policies; Qualitative Research Methods and Ethics; Participatory Visual Research Methods; Education and Art Integration; Evaluation and Performance Assessment,https://api.openalex.org/works?filter=author.id:A5070158251
232,A5057041884,0000-0001-8967-6047,Francisco Cortés Rodás,Austral University of Chile,CL,https://ror.org/029ycp228,6,1,141,98,Social Sciences,Social Sciences,Comparative constitutional jurisprudence studies; Economic and Social Development; Political Theory and Democracy; Political Philosophy and Ethics; Human Rights and Immigration,https://api.openalex.org/works?filter=author.id:A5057041884
233,A5083251749,0000-0001-5778-6495,Constanza Herrera-Seda,Universidad de Santiago de Chile,CL,https://ror.org/02ma57s91,6,4,552,18,Social Sciences,Social Sciences,Education and Teacher Training; Social Sciences and Policies; Educational Innovations and Technology; Higher Education and Sustainability; Education in Rural Contexts,https://api.openalex.org/works?filter=author.id:A5083251749
234,A5048544206,0000-0001-8347-4620,Pablo Marshall,Austral University of Chile,CL,https://ror.org/029ycp228,6,4,363,121,Social Sciences,Social Sciences,Comparative constitutional jurisprudence studies; Human Rights and Immigration; Legal processes and jurisprudence; Political Theory and Democracy; Criminal Justice and Penology,https://api.openalex.org/works?filter=author.id:A5048544206
235,A5018321948,0000-0002-5939-3035,Jorge Rojas‐Vallejos,Universidad Andrés Bello,CL,https://ror.org/01qq57711,6,4,202,20,"Economics, Econometrics and Finance",Social Sciences,"Global trade and economics; Economic Theory and Policy; Fiscal Policy and Economic Growth; Income, Poverty, and Inequality; Acute Lymphoblastic Leukemia research",https://api.openalex.org/works?filter=author.id:A5018321948
236,A5064812262,0000-0002-4517-0957,Verónica Arriagada,Universidad del Desarrollo,CL,https://ror.org/05y33vv83,5,5,215,7,Social Sciences,Social Sciences,"Early Childhood Education and Development; Income, Poverty, and Inequality; Employment and Welfare Studies; School Choice and Performance; Family Business Performance and Succession",https://api.openalex.org/works?filter=author.id:A5064812262
237,A5081967253,0000-0002-2703-9023,Naim Bro,Millennium Institute for Integrative Biology,CL,https://ror.org/05xcmte05,5,2,55,16,Social Sciences,Social Sciences,Social Sciences and Policies; Human Mobility and Location-Based Analysis; Political and Social Dynamics in Chile and Latin America; Urban Planning and Valuation; Business Strategy and Innovation,https://api.openalex.org/works?filter=author.id:A5081967253
238,A5082641984,0000-0002-9994-6562,Luis Alvarenga,Universidad Santo Tomás,CL,https://ror.org/02vbtzd72,5,3,95,115,Social Sciences,Social Sciences,Social Sciences and Policies; Latin American Literature Studies; Political Dynamics in Latin America; Public Policy and Governance; Ethics and bioethics in healthcare,https://api.openalex.org/works?filter=author.id:A5082641984
239,A5085253974,0000-0001-7171-8392,Javier Núñez Moscoso,University of O'Higgins,CL,https://ror.org/044cse639,5,4,243,45,Social Sciences,Social Sciences,"Education, sociology, and vocational training; Educational Practices and Policies; Education and Teacher Training; Educational theories and practices; Education in Rural Contexts",https://api.openalex.org/works?filter=author.id:A5085253974
240,A5004730433,0000-0003-3566-5953,Mauricio Bucca,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,5,4,253,13,Social Sciences,Social Sciences,"Intergenerational and Educational Inequality Studies; Income, Poverty, and Inequality; Social and Cultural Dynamics; Names, Identity, and Discrimination Research; Racial and Ethnic Identity Research",https://api.openalex.org/works?filter=author.id:A5004730433
241,A5087311762,0000-0003-2813-3123,María Belén Sotomayor Barros,Universidad de La Frontera,CL,https://ror.org/04v0snf24,5,2,53,10,Social Sciences,Social Sciences,Education and Teacher Training; Educational Innovations and Technology; Educational Outcomes and Influences; Social Sciences and Policies; Early Childhood Education and Development,https://api.openalex.org/works?filter=author.id:A5087311762
242,A5018844545,0000-0002-3904-409X,Andrés Bórquez,University of Chile,CL,https://ror.org/047gc3g35,5,2,52,22,Social Sciences,Social Sciences,International Relations in Latin America; Global trade and economics; International Development and Aid; Economic Zones and Regional Development; International Relations and Foreign Policy,https://api.openalex.org/works?filter=author.id:A5018844545
243,A5046446614,0000-0001-5870-5853,Ignacio Irarrázaval,Pontificia Universidad Católica de Chile,CL,https://ror.org/04teye511,5,1,44,23,Social Sciences,Social Sciences,"Social Sciences and Policies; Public Policy and Governance; Finance, Taxation, and Governance; Aging, Health, and Disability; Taxation and Compliance Studies",https://api.openalex.org/works?filter=author.id:A5046446614
